Sun Feb 14 10:57:29 2021 | 18.65 sec | 316.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 11:37:52 2021 | 17.76 sec | 301.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 11:47:35 2021 | 21.64 sec | 367.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 11:51:57 2021 | 16.99 sec | 288.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 11:53:52 2021 | 17.70 sec | 300.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 11:57:24 2021 | 30.77 sec | 521.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 11:58:05 2021 | 20.40 sec | 345.8 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 12:00:05 2021 | 0.19 sec | 315.3 ns/ray | 128x72 | 64 samples/pixel | 589824 total rays
Sun Feb 14 12:00:48 2021 | 0.23 sec | 393.3 ns/ray | 128x72 | 64 samples/pixel | 589824 total rays
Sun Feb 14 12:01:48 2021 | 0.23 sec | 869.8 ns/ray | 64x64 | 64 samples/pixel | 262144 total rays
Sun Feb 14 12:02:27 2021 | 0.03 sec | 1525.9 ns/ray | 16x16 | 64 samples/pixel | 16384 total rays
Sun Feb 14 12:03:29 2021 | 0.02 sec | 1030.8 ns/ray | 16x18 | 64 samples/pixel | 18432 total rays
Sun Feb 14 12:04:26 2021 | 0.04 sec | 1901.7 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:06:21 2021 | 0.02 sec | 1028.0 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:09:13 2021 | 0.09 sec | 4728.6 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:09:25 2021 | 0.24 sec | 12129.9 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:11:00 2021 | 81.54 sec | 4190840.9 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:11:23 2021 | 16.27 sec | 835988.9 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:11:58 2021 | 26.10 sec | 1341334.3 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:14:07 2021 | 126.88 sec | 6521124.6 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:16:27 2021 | 0.09 sec | 4625.8 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:22:44 2021 | 0.10 sec | 5088.4 ns/ray | 16x19 | 64 samples/pixel | 19456 total rays
Sun Feb 14 12:23:58 2021 | 17.51 sec | 296.9 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 12:33:15 2021 | 16.85 sec | 285.6 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 12:38:01 2021 | 17.77 sec | 301.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 12:57:32 2021 | 17.36 sec | 294.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:02:44 2021 | 17.10 sec | 289.8 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:12:52 2021 | 0.01 sec | 0.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:14:26 2021 | 0.02 sec | 0.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:23:09 2021 | 2.30 sec | 39.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:23:46 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:23:54 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:24:21 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:25:07 2021 | 1.47 sec | 25.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:25:39 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:25:49 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:26:09 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:26:21 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:26:32 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:26:42 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:26:57 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:27:59 2021 | 0.00 sec | 0.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:28:49 2021 | 0.00 sec | 0.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:29:18 2021 | 0.28 sec | 4.8 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:29:40 2021 | 0.28 sec | 4.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:30:17 2021 | 2.02 sec | 34.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:30:32 2021 | 1.96 sec | 33.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:30:41 2021 | 1.96 sec | 33.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:33:36 2021 | 2.21 sec | 37.5 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:33:50 2021 | 7.03 sec | 119.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:37:43 2021 | 7.05 sec | 119.6 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:38:25 2021 | 6.98 sec | 118.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:43:10 2021 | 7.20 sec | 122.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:44:06 2021 | 7.30 sec | 123.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:45:50 2021 | 7.24 sec | 122.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 13:46:24 2021 | 8.83 sec | 149.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:18:14 2021 | 8.72 sec | 147.9 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:18:55 2021 | 9.01 sec | 152.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:21:44 2021 | 7.22 sec | 122.4 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:22:50 2021 | 7.14 sec | 121.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:23:50 2021 | 7.62 sec | 129.2 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:24:39 2021 | 7.38 sec | 125.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:26:48 2021 | 11.20 sec | 190.0 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:27:24 2021 | 7.83 sec | 132.7 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:28:10 2021 | 8.22 sec | 139.3 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:30:08 2021 | 7.29 sec | 123.5 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:30:52 2021 | 17.85 sec | 302.6 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Sun Feb 14 14:31:24 2021 | 7.26 sec | 123.1 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Mon Feb 15 10:57:10 2021 | 7.25 sec | 122.9 ns/ray | 1280x720 | 64 samples/pixel | 58982400 total rays
Mon Feb 15 11:29:40 2021 | 114.75 sec | 121.6 ns/ray | 1280x720 | 1024 samples/pixel | 943718400 total rays
Mon Feb 15 11:32:23 2021 | 3.92 sec | 133.0 ns/ray | 1280x720 | 32 samples/pixel | 29491200 total rays
Wed Feb 17 13:41:09 2021 | 3.72 sec | 126.2 ns/ray | 1280x720 | 32 samples/pixel | 29491200 total rays
Wed Feb 17 14:47:43 2021 | 4.54 sec | 154.0 ns/ray | 1280x720 | 32 samples/pixel | 29491200 total rays
Wed Feb 17 14:49:21 2021 | 15.30 sec | 129.7 ns/ray | 1280x720 | 128 samples/pixel | 117964800 total rays
Wed Feb 17 20:59:24 2021 | 6.50 sec | 220.4 ns/ray | 1280x720 | 32 samples/pixel | 29491200 total rays
